Comment,Sentiment
Psycho lady isko police ki wardi kisne dedi,Negative
Very good cisf  women,Positive
Kulwinder kaur need promotion as she support her mother's dignity as she protect her motherland ❤,Positive
Real sherni ❤,Positive
Tu galt A foji di dheya punjabi 20 pisha jhoth bol denda soh jhothi kha janda aeo ta gall punjabiya nu izzat odda hajam ni hunda Tu galt A beba tara maa pyo na galt shiksha diti danu oh ni kanga ni galt oh sachi A jadi chup kargi sah gai orat ho k Tu orat di izzat ni kardi oh Himachal di dhee gina Himachal di hava pani petta hova na thnda subha da hunda na onda oda vakh Tu avda vakh badcho radi landi firra gi punjabi pump dina bus kina crood data tanu CM na bnata tanu djp Tu badi vadi galti kiti bachya da ni sochya nokri chali gai ona nu kiva paldi hun tanu avdi family laka ja tu maffi mangan avda maa pyoo nu nall laka tanu pta lgga ma chak krra news dakha ga mobil ta oh MP tarmint krwa sakdi tanu akal kar 😢😢😢😢😢😢good 👍kangna ranot ma toda ga anda hunkar mara mama di nuh Himachal di una mari madam vi Himachal di pooja vi badu sahib gormt job bhaj pooja annu hunkari hoi a ravan vangu 😮😮😊😊😊😊😊❤,Neutral
That that CISF Should Be Punish For This 🤬😡,Negative
Congress party zindebad ❤❤❤🎉🎉🎉😂,Positive
"लगता हैं किसान सिर्फ पंजाब मे ही है उप, bihar me to hai hi nahi",Negative
Respect for this CISF Women,Positive
❤❤❤❤❤,Positive
Kangana women's card kel k jeeti h or uski jindagi women card p chalti acha hua thapad mara ek lady n 👍,Positive
Extremely Unacceptable Act. This Security Person should be removed from the Service immediately!,Negative
Sikho ko aukaat dikhani paregi ab...,Negative
5rs ka constable 😂,Neutral
Uniform pehna he or ye shoba nahi deta ki aap kisi ko aese thappad mare usko jail me dal do kangana hamesa sach bolti he sach ke sath khadi rehti ye vahi hogi jo kangana ko pasand nahi karti hogi isi liye ye drama kiya kangana queen he❤❤❤❤❤❤❤❤❤,Positive
Illiterate officer,Negative
Bayan bhi galat tha aur marna bhi galat tha,Negative
Lady cop k liy strictly action leni ki salah dene vale zara ye b bolo k galat bayani karne vali..ye sadi hui kangna k liy b action leni chahiye..jst bjp k hai to sb karegi ky..,Negative
No one knows what actually had happened..only uniform lady is presented wrong..y not kangna's words shown here..y the video is half ..y not full,Negative
Are ye politics r actors k sath yhi karna chy..inko b aam logo jese hi treat karna chahiye..ghanto line mai khada karna chahiye..n she is officer..not mad to slap without any reason..kangna said some thing very bad..that s y she got angry..no body is mad to hit anyone like this..n no one notices the black dress lady..got hitted..y jst bcz she is from common  people,Negative
i came to saw this video after watching her statement on atul subhash case,Neutral
Hot and sexy.....queen 😂😂😂😂😂,Positive
"Doesn't matter what kangana said as a politician, your job is to give security not breach it....shame on you for wearing that proudly uniform and doing exactly opposite of what it showcase.",Negative
Bilkul shi kha tha kangna ne ye sab popularity k chakr mai drame kr rhi hai,Negative
Who noticed that the guy wearing that hat...also hitted the girl behind them😂😂😂😂,Neutral
Punjab di sherni put that Modi's mistress in place.,Negative
Acting mai toh Kangana ko piche kar diya😂😂maa fortuner ya audi leke ayethi,Negative
She is such a bad woman slapping someone not justified the kishan Andolan bahut logo ne bahut kuch bola that she didn't respect her worthy..,Negative
"close enough, welcome back ""HOW CAN SHE SLAP?""",Negative
chawal janani😂😂,Positive
Kulwinder Kaur Sharni of Punjab.🙏🙏🙏🙏🙏,Positive
Frustrated constable seeing another successful women..😂😂 pity for this woman 😂😂,Negative
"Andhbhakts will never understand the pain in that cisf's word, they just care about selling their brain to modi and hating minorities and whoever opposes their modi bhagwan",Negative
Shame on the female officer for physically assaulting someone. No one has the right to touch another person unless it’s absolutely necessary for self-defense,Negative
Kangana,Neutral
Corruption hone ke vajah se uneducated psycho recruit kiye haye hai.,Negative
Kangana Ranuat 😂 eat it and go cry in the corner 😅,Positive
Sahi kiya,Neutral
बीजेपी नेताओं की रखैल है कंगना रनौत,Negative
coward act by cisf lady officer.. Down with shame,Negative
"Family members of my Indian soldiers, see what these blind devotees and BJP people say about a soldier.😢😢",Negative
Well done,Positive
Well Done Police Lady 100%,Positive
Salute and kudos to her,Positive
Now dis idiot in jail 4 long inning,Negative
"Indians farmers should be treated like usual worker, pay tax, abide law or work something else.. enough of jai jawan..they have been misusing system alot.. rioters",Negative
Sahi kiya,Neutral
Naukari se hataya jaaye jald se jald usko Bharti utaro,Negative
Kangana aunty desirve more then this,Positive
Ab isko pata chala kaun asli jhansi ki rani aur kaun fake hai,Negative
"Khalistani in dress 
This is quite serious 
She could be suicide bombers",Negative
100 nhi 500 leti h😂,Neutral
Mujhe lag rha hai kangana thapad khane ke baad or bhi jada atpatte byaan de rahe hai,Negative
